Committee ID,Candidate/Committee Name,Office,Party,IE For,IE Against,Total IE,Transaction Count
201800564,Pace For AZ Senate,State Senator - District No. 25,Republican,200572.24,45635.78,246208.02,53
100143,Vote Wilmeth,State Representative - District 2,Republican,172514.61,64912.19,237426.8,71
100572,Christian Lamar for State Representative - District 2,State Representative - District 2,Republican,80708.59,154460.07,235168.66,51
100073,Conservatives for John,State Representative - District 25,Republican,172018.79,39582.6,211601.39,31
100574,Andrew Gould for Attorney General,Attorney General,Republican,198721.57,0.0,198721.57,17
100968,Casteen for Arizona,State Senator - District No. 20,Democratic,161372.39,29013.51,190385.9,42
100635,Vote Bolick,Secretary of State,Republican,189879.02,0.0,189879.02,6
-898,Lorena for Arizona,,,151133.89,38283.57,189417.46,32
-1334,Vice Chief Justice Ann. A Scott Timmer,,,0.0,174786.18,174786.18,3
100966,Farnsworth for Senate,State Senator - District No. 10,Republican,133320.66,40538.4,173859.06,27
100924,Laura For AZ,State Representative - District 4,Democratic,73617.87,88605.94,162223.81,40
100229,Vote Liz Harris,State Representative - District 17,Republican,43965.69,117168.21,161133.9,29
-1122,"RUSSELL W ""RUSTY"" BOWERS for State Representative - District 25",State Representative - District No. 25,Republican,0.0,156555.8,156555.8,341
-784,Kari Lake for Arizona,,,0.0,152849.99,152849.99,3
-751,Justice William G. Montgomery,,,0.0,152247.18,152247.18,3
100282,Elect Kathy Pearce,State Representative - District 25,Republican,65912.33,77645.74,143558.07,31
201600496,Elect Michelle Udall,Superintendent of Public Instruction,Republican,0.0,130000.0,130000.0,3
101164,Brittani Barraza for AZ,State Senator - District No. 27,Democratic,129038.91,466.98,129505.89,24
100184,ElectBurgesDistrict#1,State Representative - District 1,Republican,99087.48,14537.38,113624.86,8
100654,Shope for State Senator - District No. 16,State Senator - District No. 16,Republican,92958.52,18327.39,111285.91,39
-165,Blattman for AZ,,,92907.77,16335.62,109243.39,28
-976,Mendoza For Arizona,,,10321.74,97340.54,107662.28,32
100881,Terry for Arizona,State Representative - District 29,Republican,97396.9,7611.7,105008.6,17
100901,Syms for Arizona,State Representative - District 4,Republican,23006.1,77425.0,100431.1,18
